ProductKey,ProductName,ProductDescription,ProductSubcategoryKey,Manufacturer,BrandName,ClassID,ClassName,StyleID,StyleName,ColorID,ColorName,Weight,WeightUnitMeasureID,UnitOfMeasureID,UnitOfMeasureName,StockTypeID,StockTypeName,UnitCost,UnitPrice,AvailableForSaleDate,Status
11,Contoso 4G MP3 Player E400 Orange,"4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA",1,"Contoso, Ltd",Contoso,1,Economy,1,Product0101011,9,Orange,14.1,ounces,1,inches,2,Mid,30.58,59.99,2007-04-16,On
12,Contoso 4GB Flash MP3 Player E401 Blue,"1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG",1,"Contoso, Ltd",Contoso,1,Economy,3,Product0101012,3,Blue,7.4,ounces,1,inches,2,Mid,35.72,77.68,2007-06-16,On
13,Contoso 4GB Flash MP3 Player E401 Black,"1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG",1,"Contoso, Ltd",Contoso,1,Economy,4,Product0101013,2,Black,2.6,ounces,1,inches,2,Mid,35.72,77.68,2007-06-16,On
14,Contoso 4GB Flash MP3 Player E401 Silver,"1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG",1,"Contoso, Ltd",Contoso,1,Economy,1,Product0101014,7,Silver,8.0,ounces,1,inches,2,Mid,35.72,77.68,2007-06-16,On
15,Contoso 4GB Flash MP3 Player E401 White,"1.8'' color LCD, play MP3, WMA and Video MTV, and share JPG",1,"Contoso, Ltd",Contoso,1,Economy,4,Product0101015,8,White,2.1,ounces,1,inches,2,Mid,35.72,77.68,2007-06-16,On
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,"2"" color LCD, Touchpad, Plays music, video, photos and text",1,"Contoso, Ltd",Contoso,2,Regular,3,Product0101016,8,White,11.0,ounces,1,inches,2,Mid,50.56,109.95,2008-01-16,On
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,"2"" color LCD, Touchpad, Plays music, video, photos and text",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101017,6,Red,11.0,ounces,1,inches,2,Mid,50.56,109.95,2008-01-16,On
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,"2"" color LCD, Touchpad, Plays music, video, photos and text",1,"Contoso, Ltd",Contoso,2,Regular,3,Product0101018,14,Green,2.1,ounces,1,inches,2,Mid,50.56,109.95,2008-01-16,On
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,"2"" color LCD, Touchpad, Plays music, video, photos and text",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101019,10,Pink,5.9,ounces,1,inches,2,Mid,50.56,109.95,2008-01-16,On
20,Contoso 8GB MP3 Player new model M820 Black,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",1,"Contoso, Ltd",Contoso,2,Regular,4,Product0101020,2,Black,1.0,pounds,1,inches,2,Mid,61.62,134.0,2008-03-20,On
21,Contoso 8GB MP3 Player new model M820 Blue,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101021,3,Blue,10.6,ounces,1,inches,2,Mid,61.62,134.0,2008-03-20,On
22,Contoso 8GB MP3 Player new model M820 Yellow,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",1,"Contoso, Ltd",Contoso,2,Regular,4,Product0101022,13,Yellow,1.0,ounces,1,inches,2,Mid,61.62,134.0,2008-03-20,On
23,Contoso 8GB MP3 Player new model M820 White,"2'' LCD with blue-white LED, 320x240-pixel, plays music, video, photos and text, display JPEG, BMP, GIF, TIFF and PNG  ",1,"Contoso, Ltd",Contoso,2,Regular,3,Product0101023,8,White,2.6,ounces,1,inches,2,Mid,61.62,134.0,2008-03-20,On
24,Contoso 16GB Mp5 Player M1600 Blue,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101024,3,Blue,11.0,ounces,1,inches,2,Mid,91.93,199.9,2009-03-11,On
25,Contoso 16GB Mp5 Player M1600 Black,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",1,"Contoso, Ltd",Contoso,2,Regular,3,Product0101025,2,Black,5.9,ounces,1,inches,2,Mid,91.93,199.9,2009-03-11,On
26,Contoso 16GB Mp5 Player M1600 Green,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101026,14,Green,14.1,ounces,1,inches,2,Mid,91.93,199.9,2009-03-11,On
27,Contoso 16GB Mp5 Player M1600 White,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101027,8,White,8.0,ounces,1,inches,2,Mid,91.93,199.9,2009-03-11,On
28,Contoso 16GB Mp5 Player M1600 Red,"3"" 16:9 TFT Touch screen, 16GB flash memory, plays AVI/RM/RMVB/FLV",1,"Contoso, Ltd",Contoso,2,Regular,3,Product0101028,6,Red,2.0,ounces,1,inches,2,Mid,91.93,199.9,2009-03-11,On
29,Contoso 32GB Video MP3 Player M3200 White,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",1,"Contoso, Ltd",Contoso,2,Regular,3,Product0101029,8,White,1.2,pounds,1,inches,2,Mid,84.49,255.0,2008-06-02,On
30,Contoso 32GB Video MP3 Player M3200 Red,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101030,6,Red,2.1,ounces,1,inches,2,Mid,84.49,255.0,2008-06-02,On
31,Contoso 32GB Video MP3 Player M3200 Orange,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101031,9,Orange,1.2,pounds,1,inches,2,Mid,84.49,255.0,2008-06-02,On
32,Contoso 32GB Video MP3 Player M3200 Pink,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101032,10,Pink,8.8,ounces,1,inches,2,Mid,84.49,255.0,2008-06-02,On
33,Contoso 32GB Video MP3 Player M3200 Black,"4.3'' Touch screen, 32GB flash memory, beyond 30 hours battery life",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101033,2,Black,10.1,ounces,1,inches,2,Mid,84.49,255.0,2008-06-02,On
34,Contoso 4GB Portable MP3 Player M450 Black,"4GB built in memory, USB driver and earphone, play MP3, WMA",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101034,2,Black,0.55,ounces,1,inches,2,Mid,48.92,95.95,2007-12-28,On
35,Contoso 4GB Portable MP3 Player M450 White,"4GB built in memory, USB driver and earphone, play MP3, WMA",1,"Contoso, Ltd",Contoso,2,Regular,2,Product0101035,8,White,2.4,ounces,1,inches,2,Mid,48.92,95.95,2007-12-28,On
36,Contoso 4GB Portable MP3 Player M450 Yellow,"4GB built in memory, USB driver and earphone, play MP3, WMA",1,"Contoso, Ltd",Contoso,2,Regular,3,Product0101036,13,Yellow,2.9,pounds,1,inches,2,Mid,48.92,95.95,2007-12-28,On
37,Contoso 8GB Clock & Radio MP3 Player X850 Silver,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",1,"Contoso, Ltd",Contoso,3,Deluxe,3,Product0101037,7,Silver,1.6,ounces,1,inches,2,Mid,99.14,299.23,2006-02-02,On
38,Contoso 8GB Clock & Radio MP3 Player X850 Black,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",1,"Contoso, Ltd",Contoso,3,Deluxe,3,Product0101038,2,Black,2.0,pounds,1,inches,2,Mid,99.14,299.23,2006-02-02,On
39,Contoso 8GB Clock & Radio MP3 Player X850 Green,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",1,"Contoso, Ltd",Contoso,3,Deluxe,1,Product0101039,14,Green,6.4,ounces,1,inches,2,Mid,99.14,299.23,2006-02-02,On
40,Contoso 8GB Clock & Radio MP3 Player X850 Blue,"2.6'' Touch screen, 8GB flash memory, clock and radio, plays AVI/RM/RMVB",1,"Contoso, Ltd",Contoso,3,Deluxe,4,Product0101040,3,Blue,5.0,ounces,1,inches,2,Mid,99.14,299.23,2006-02-02,On
41,Contoso 16GB New Generation MP5 Player M1650 Silver,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101041,7,Silver,8.0,ounces,1,inches,2,Mid,106.69,232.0,2009-04-18,On
42,Contoso 16GB New Generation MP5 Player M1650 White,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101042,8,White,12.0,ounces,1,inches,2,Mid,106.69,232.0,2009-04-18,On
43,Contoso 16GB New Generation MP5 Player M1650 Black,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101043,2,Black,14.1,ounces,1,inches,2,Mid,106.69,232.0,2009-04-18,On
44,Contoso 16GB New Generation MP5 Player M1650 blue,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",1,"Contoso, Ltd",Contoso,2,Regular,1,Product0101044,3,blue,1.0,pounds,1,inches,2,Mid,106.69,232.0,2009-04-18,On
45,Contoso 16GB New Generation MP5 Player M1650 Pink,"2.4'' LCD Touch screen, 8GB flash memory, plays music, video, photos and text, share JPEG, BMP, GIF, TIFF",1,"Contoso, Ltd",Contoso,2,Regular,4,Product0101045,10,Pink,5.0,ounces,1,inches,2,Mid,106.69,232.0,2009-04-18,On
46,WWI 1GB Pulse Smart pen E50 White,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,1,Economy,1,Product0104001,8,White,1.3,ounces,1,inches,1,High,76.45,149.95,2006-05-12,On
47,WWI 1GBPulse Smart pen E50 Black,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,1,Economy,5,Product0104002,2,Black,2.2,ounces,1,inches,1,High,76.45,149.95,2006-05-12,On
48,WWI 1GB Pulse Smart pen E50 Silver,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,1,Economy,3,Product0104003,7,Silver,30.0,grams,2,mm,1,High,76.45,149.95,2006-05-12,On
49,WWI 2GB Pulse Smart pen M100 White,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,2,Regular,4,Product0104004,8,White,30.0,grams,2,mm,1,High,91.95,199.95,2007-03-02,On
50,WWI 2GB Pulse Smart pen M100 Black,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,2,Regular,3,Product0104005,2,Black,2.2,ounces,1,inches,1,High,91.95,199.95,2007-03-02,On
51,WWI 2GB Pulse Smart pen M100 Blue,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,2,Regular,1,Product0104006,3,Blue,1.3,ounces,1,inches,1,High,91.95,199.95,2007-03-02,On
52,WWI 2GB Pulse Smart pen M100 Silver,"Record and link audio to be written, listen to recordings, share notes and recording with computer",4,Wide World Importers,Wide World Importers,2,Regular,1,Product0104007,7,Silver,2.2,ounces,1,inches,1,High,91.95,199.95,2007-03-02,On
53,WWI 4GB Video Recording Pen X200 Black,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",4,Wide World Importers,Wide World Importers,3,Deluxe,3,Product0104008,2,Black,30.0,grams,2,mm,1,High,98.07,296.0,2008-06-07,On
54,WWI 4GB Video Recording Pen X200 Red,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",4,Wide World Importers,Wide World Importers,3,Deluxe,1,Product0104009,6,Red,30.0,grams,2,mm,1,High,98.07,296.0,2008-06-07,On
55,WWI 4GB Video Recording Pen X200 Pink,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",4,Wide World Importers,Wide World Importers,3,Deluxe,2,Product0104010,10,Pink,2.2,ounces,1,inches,1,High,98.07,296.0,2008-06-07,On
56,WWI 4GB Video Recording Pen X200 Yellow,"640 x 480 VGA audio video pen, business portable recorder, about 3 hours recording",4,Wide World Importers,Wide World Importers,3,Deluxe,1,Product0104011,13,Yellow,1.3,ounces,1,inches,1,High,98.07,296.0,2008-06-07,On
57,WWI 1GB Digital Voice Recorder Pen E100 Black,"Voice recorder, MP3 player, USB flash drive, 64 hours recording",4,Wide World Importers,Wide World Importers,1,Economy,2,Product0104012,2,Black,30.0,grams,2,mm,1,High,79.53,156.0,2008-01-21,On
58,WWI 1GB Digital Voice Recorder Pen E100 Red,"Voice recorder, MP3 player, USB flash drive, 64 hours recording",4,Wide World Importers,Wide World Importers,1,Economy,1,Product0104013,6,Red,1.3,ounces,1,inches,1,High,79.53,156.0,2008-01-21,On
59,WWI 1GB Digital Voice Recorder Pen E100 Pink,"Voice recorder, MP3 player, USB flash drive, 64 hours recording",4,Wide World Importers,Wide World Importers,1,Economy,1,Product0104014,10,Pink,2.2,ounces,1,inches,1,High,79.53,156.0,2008-01-21,On
60,WWI 1GB Digital Voice Recorder Pen E100 White,"Voice recorder, MP3 player, USB flash drive, 64 hours recording",4,Wide World Importers,Wide World Importers,1,Economy,1,Product0104015,8,White,30.0,grams,2,mm,1,High,79.53,156.0,2008-01-21,On
61,WWI 2GB Spy Video Recorder Pen M300 Black,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",4,Wide World Importers,Wide World Importers,2,Regular,1,Product0104016,2,Black,30.0,grams,2,mm,1,High,83.24,181.0,2009-02-11,On
62,WWI 2GB Spy Video Recorder Pen M300 White,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",4,Wide World Importers,Wide World Importers,2,Regular,1,Product0104017,8,White,2.2,ounces,1,inches,1,High,83.24,181.0,2009-02-11,On
63,WWI 2GB Spy Video Recorder Pen M300 Blue,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",4,Wide World Importers,Wide World Importers,2,Regular,1,Product0104018,3,Blue,1.3,ounces,1,inches,1,High,83.24,181.0,2009-02-11,On
64,WWI 2GB Spy Video Recorder Pen M300 Silver,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",4,Wide World Importers,Wide World Importers,2,Regular,1,Product0104019,7,Silver,2.2,ounces,1,inches,1,High,83.24,181.0,2009-02-11,On
65,WWI 2GB Spy Video Recorder Pen M300 Purple,"2GB flash memory, USB driver, continuous recording until memory full, as spy cameras, hidden cameras",4,Wide World Importers,Wide World Importers,2,Regular,5,Product0104020,5,Purple,30.0,grams,2,mm,1,High,83.24,181.0,2009-02-11,On
66,NT Bluetooth Stereo Headphones E52 Blue,Seamlessly integrates wireless mobile music and calls,6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106001,3,Blue,1.1,ounces,1,inches,2,Mid,13.1,25.69,2005-04-01,On
67,NT Bluetooth Stereo Headphones E52 Black,Seamlessly integrates wireless mobile music and calls,6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106002,2,Black,6.6,ounces,1,inches,2,Mid,13.1,25.69,2005-04-01,On
68,NT Bluetooth Stereo Headphones E52 Yellow,Seamlessly integrates wireless mobile music and calls,6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106003,13,Yellow,1.6,ounces,1,inches,2,Mid,13.1,25.69,2005-04-01,On
69,NT Bluetooth Stereo Headphones E52 Pink,Seamlessly integrates wireless mobile music and calls,6,Northwind Traders,Northwind Traders,1,Economy,3,Product0106004,10,Pink,6.6,ounces,1,inches,2,Mid,13.1,25.69,2005-04-01,On
70,NT Wireless Bluetooth Stereo Headphones E102 Silver,"Wireless range beyond 10 meters, MP3-quality stereo sound",6,Northwind Traders,Northwind Traders,1,Economy,2,Product0106005,7,Silver,9.6,ounces,1,inches,2,Mid,22.05,47.95,2007-02-12,On
71,NT Wireless Bluetooth Stereo Headphones E102 Black,"Wireless range beyond 10 meters, MP3-quality stereo sound",6,Northwind Traders,Northwind Traders,1,Economy,3,Product0106006,2,Black,2.1,pounds,1,inches,2,Mid,22.05,47.95,2007-02-12,On
72,NT Wireless Bluetooth Stereo Headphones E102 Blue,"Wireless range beyond 10 meters, MP3-quality stereo sound",6,Northwind Traders,Northwind Traders,1,Economy,5,Product0106007,3,Blue,2.1,pounds,1,inches,2,Mid,22.05,47.95,2007-02-12,On
73,NT Wireless Bluetooth Stereo Headphones E102 White,"Wireless range beyond 10 meters, MP3-quality stereo sound",6,Northwind Traders,Northwind Traders,1,Economy,2,Product0106008,8,White,1.2,pounds,1,inches,2,Mid,22.05,47.95,2007-02-12,On
74,NT Bluetooth Active Headphones E202 Black,"Wireless range up10 meters, beyond 7-hour talking time.",6,Northwind Traders,Northwind Traders,1,Economy,3,Product0106009,2,Black,1.5,pounds,1,inches,2,Mid,17.45,37.95,2008-04-05,On
75,NT Bluetooth Active Headphones E202 White,"Wireless range up10 meters, beyond 7-hour talking time.",6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106010,8,White,11.4,ounces,1,inches,2,Mid,17.45,37.95,2007-05-14,On
76,NT Bluetooth Active Headphones E202 Red,"Wireless range up10 meters, beyond 7-hour talking time.",6,Northwind Traders,Northwind Traders,1,Economy,3,Product0106011,6,Red,1.0,pounds,1,inches,2,Mid,17.45,37.95,2007-05-14,On
77,NT Bluetooth Active Headphones E202 Silver,"Wireless range up10 meters, beyond 7-hour talking time.",6,Northwind Traders,Northwind Traders,1,Economy,2,Product0106012,7,Silver,29.0,grams,1,inches,2,Mid,17.45,37.95,2007-05-14,On
78,NT Wireless Bluetooth Stereo Headphones E302 Silver,"Built-In Microphone, integrated headphone button to play/pause",6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106013,7,Silver,1.5,pounds,1,inches,2,Mid,18.65,40.55,2007-07-19,On
79,NT Wireless Bluetooth Stereo Headphones E302 White,"Built-In Microphone, integrated headphone button to play/pause",6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106014,8,White,1.0,pounds,1,inches,2,Mid,18.65,40.55,2007-07-19,On
80,NT Wireless Bluetooth Stereo Headphones E302 Yellow,"Built-In Microphone, integrated headphone button to play/pause",6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106015,13,Yellow,9.6,ounces,1,inches,2,Mid,18.65,40.55,2007-07-19,On
81,NT Wireless Bluetooth Stereo Headphones E302 Black,"Built-In Microphone, integrated headphone button to play/pause",6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106016,2,Black,29.0,grams,1,inches,2,Mid,18.65,40.55,2007-07-19,On
82,NT Wireless Bluetooth Stereo Headphones E302 Pink,"Built-In Microphone, integrated headphone button to play/pause",6,Northwind Traders,Northwind Traders,1,Economy,1,Product0106017,10,Pink,1.0,pounds,1,inches,2,Mid,18.65,40.55,2007-07-19,On
83,NT Wireless Bluetooth Stereo Headphones M402 Silver,"Wireless range extends to 165 feet, beyond 8 hours per charge",6,Northwind Traders,Northwind Traders,2,Regular,1,Product0106018,7,Silver,3.0,pounds,1,inches,2,Mid,45.98,99.99,2008-06-05,On
84,NT Wireless Bluetooth Stereo Headphones M402 Red,"Wireless range extends to 165 feet, beyond 8 hours per charge",6,Northwind Traders,Northwind Traders,2,Regular,1,Product0106019,6,Red,1.2,pounds,1,inches,2,Mid,45.98,99.99,2008-06-05,On
85,NT Wireless Bluetooth Stereo Headphones M402 Green,"Wireless range extends to 165 feet, beyond 8 hours per charge",6,Northwind Traders,Northwind Traders,2,Regular,5,Product0106020,14,Green,3.0,pounds,1,inches,2,Mid,45.98,99.99,2008-06-05,On
86,NT Wireless Bluetooth Stereo Headphones M402 Black,"Wireless range extends to 165 feet, beyond 8 hours per charge",6,Northwind Traders,Northwind Traders,2,Regular,5,Product0106021,2,Black,3.0,pounds,1,inches,2,Mid,45.98,99.99,2008-06-05,On
87,NT Wireless Bluetooth Stereo Headphones M402 Purple,"Wireless range extends to 165 feet, beyond 8 hours per charge",6,Northwind Traders,Northwind Traders,2,Regular,1,Product0106022,5,Purple,1.3,ounces,1,inches,2,Mid,45.98,99.99,2008-06-05,On
88,NT Wireless Transmitter and Bluetooth Headphones M150 Black,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",6,Northwind Traders,Northwind Traders,2,Regular,1,Product0106023,2,Black,10.4,ounces,1,inches,2,Mid,49.69,149.99,2008-08-17,On
89,NT Wireless Transmitter and Bluetooth Headphones M150 Blue,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",6,Northwind Traders,Northwind Traders,2,Regular,1,Product0106024,3,Blue,5.6,ounces,1,inches,2,Mid,49.69,149.99,2008-08-17,On
90,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",6,Northwind Traders,Northwind Traders,2,Regular,1,Product0106025,7,Silver,1.0,pounds,1,inches,2,Mid,49.69,149.99,2008-08-17,On
91,NT Wireless Transmitter and Bluetooth Headphones M150 Green,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",6,Northwind Traders,Northwind Traders,2,Regular,2,Product0106026,14,Green,8.0,ounces,1,inches,2,Mid,49.69,149.99,2008-08-17,On
92,NT Wireless Transmitter and Bluetooth Headphones M150 Red,"Seamlessly switch between music and calls, integrated ouch sensitive play-answer-end and volume controls",6,Northwind Traders,Northwind Traders,2,Regular,3,Product0106027,6,Red,2.0,pounds,1,inches,2,Mid,49.69,149.99,2008-08-17,On
93,WWI Stereo Bluetooth Headphones E1000 Blue,"Wireless headphones with 120 ft range, built-in microphone",6,Wide World Importers,Wide World Importers,1,Economy,1,Product0106028,3,Blue,8.2,ounces,1,inches,2,Mid,34.36,67.4,2007-03-03,On
94,WWI Stereo Bluetooth Headphones E1000 Black,"Wireless headphones with 120 ft range, built-in microphone",6,Wide World Importers,Wide World Importers,1,Economy,5,Product0106029,2,Black,5.0,ounces,1,inches,2,Mid,34.36,67.4,2007-03-03,On
95,WWI Stereo Bluetooth Headphones E1000 Silver,"Wireless headphones with 120 ft range, built-in microphone",6,Wide World Importers,Wide World Importers,1,Economy,1,Product0106030,7,Silver,6.4,ounces,1,inches,2,Mid,34.36,67.4,2007-03-03,On
96,WWI Stereo Bluetooth Headphones E1000 White,"Wireless headphones with 120 ft range, built-in microphone",6,Wide World Importers,Wide World Importers,1,Economy,1,Product0106031,8,White,0.17,pounds,1,inches,2,Mid,34.36,67.4,2007-03-03,On
97,WWI Stereo Bluetooth Headphones E1000 Green,"Wireless headphones with 120 ft range, built-in microphone",6,Wide World Importers,Wide World Importers,1,Economy,1,Product0106032,14,Green,1.0,pounds,1,inches,2,Mid,34.36,67.4,2007-03-03,On
98,WWI Wireless Bluetooth Stereo Headphones M170 Silver,"Wireless range beyond 10 meters, MP3-quality stereo sound",6,Wide World Importers,Wide World Importers,2,Regular,1,Product0106033,7,Silver,1.14,ounces,1,inches,2,Mid,55.18,120.0,2009-01-28,On
99,WWI Wireless Bluetooth Stereo Headphones M170 Black,"Wireless range beyond 10 meters, MP3-quality stereo sound",6,Wide World Importers,Wide World Importers,2,Regular,3,Product0106034,2,Black,12.8,ounces,1,inches,2,Mid,55.18,120.0,2009-01-28,On
100,WWI Wireless Bluetooth Stereo Headphones M170 White,"Wireless range beyond 10 meters, MP3-quality stereo sound",6,Wide World Importers,Wide World Importers,2,Regular,1,Product0106035,8,White,5.9,ounces,1,inches,2,Mid,55.18,120.0,2009-01-28,On
101,WWI Wireless Bluetooth Stereo Headphones M170 Pink,"Wireless range beyond 10 meters, MP3-quality stereo sound",6,Wide World Importers,Wide World Importers,2,Regular,1,Product0106036,10,Pink,1.0,pounds,1,inches,2,Mid,55.18,120.0,2009-01-28,On
102,WWI Wireless Bluetooth Stereo Headphones M270 Silver,"Built-In Microphone, integrated headphone button to play/pause, MP3-quality stereo sound",6,Wide World Importers,Wide World Importers,2,Regular,5,Product0106037,7,Silver,1.0,pounds,1,inches,2,Mid,52.88,115.0,2008-07-19,On
103,WWI Wireless Bluetooth Stereo Headphones M270 Black,"Built-In Microphone, integrated headphone button to play/pause, MP3-quality stereo sound",6,Wide World Importers,Wide World Importers,2,Regular,5,Product0106038,2,Black,12.8,ounces,1,inches,2,Mid,52.88,115.0,2008-07-19,On
104,WWI Wireless Bluetooth Stereo Headphones M270 White,"Built-In Microphone, integrated headphone button to play/pause, MP3-quality stereo sound",6,Wide World Importers,Wide World Importers,2,Regular,1,Product0106039,8,White,1.0,pounds,1,inches,2,Mid,52.88,115.0,2008-07-19,On
